antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,Bought Product,Recommended Product,Confidence (%),Lift
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.028564472936784872,0.02523736103221618,0.02009791987881739,0.703598484848485,27.87924157166521,1.0,0.01937702796261678,3.2886560599040897,0.9924807067955723,0.5963081861958267,0.6959244196460107,0.7499771631102018,ROSES REGENCY TEACUP AND SAUCER ,GREEN REGENCY TEACUP AND SAUCER,70.36,27.88
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.02523736103221618,0.028564472936784872,0.02009791987881739,0.7963558413719186,27.879241571665208,1.0,0.01937702796261678,4.770259719736737,0.9890931186355142,0.5963081861958267,0.7903678083055846,0.7499771631102018,GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,79.64,27.88
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.04714761015986367,0.04812139900998134,0.02350618085422922,0.4985656913367757,10.360581811708409,1.0,0.02123737189335937,1.8983116722260902,0.9481849797496972,0.32755371277798717,0.4732161137547389,0.4935211818122889,HEART OF WICKER LARGE,HEART OF WICKER SMALL,49.86,10.36
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.04812139900998134,0.04714761015986367,0.02350618085422922,0.4884766722878021,10.360581811708409,1.0,0.02123737189335937,1.8627740676105522,0.9491549899591598,0.32755371277798717,0.46316624362140907,0.4935211818122889,HEART OF WICKER SMALL,HEART OF WICKER LARGE,48.85,10.36
frozenset({'LOVE BUILDING BLOCK WORD'}),frozenset({'HOME BUILDING BLOCK WORD'}),0.04016879006735373,0.049527982904595744,0.021261056560902377,0.5292929292929293,10.686745113615675,1.0,0.019271577413148187,2.019243126447318,0.9443599351519361,0.31067193675889326,0.5047649354838153,0.47928327513253777,LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,52.93,10.69
frozenset({'HOME BUILDING BLOCK WORD'}),frozenset({'LOVE BUILDING BLOCK WORD'}),0.049527982904595744,0.04016879006735373,0.021261056560902377,0.42927362097214633,10.686745113615675,1.0,0.019271577413148187,1.681771239604474,0.9536589429942313,0.31067193675889326,0.4053888088636929,0.47928327513253777,HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,42.93,10.69
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.04860829343504017,0.05401823149124942,0.020043820498255295,0.41235392320534225,7.633606503244015,1.0,0.017418086451086716,1.6097814753884705,0.9133990923033642,0.24271208647232229,0.3787976720513067,0.3917052540413291,LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,41.24,7.63
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05401823149124942,0.04860829343504017,0.020043820498255295,0.37105658487731596,7.633606503244015,1.0,0.017418086451086716,1.512682514339351,0.918622694569768,0.24271208647232229,0.33892274782012666,0.3917052540413291,LUNCH BAG  BLACK SKULL.,LUNCH BAG CARS BLUE,37.11,7.63
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05401823149124942,0.05069111958668073,0.020936460277529823,0.3875813720580871,7.6459422324522,1.0,0.018198215645145895,1.5500979837983637,0.9188461141744698,0.2499192767194059,0.35487949119861584,0.40030082476970524,LUNCH BAG  BLACK SKULL.,LUNCH BAG SPACEBOY DESIGN ,38.76,7.65
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05069111958668073,0.05401823149124942,0.020936460277529823,0.41302027748132336,7.6459422324522,1.0,0.018198215645145895,1.6116089401685443,0.9156257673431988,0.2499192767194059,0.3795020770389753,0.40030082476970524,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG  BLACK SKULL.,41.3,7.65
